selected_0,selected_1,selected_2,selected_3,selected_4,selected_5,selected_6,selected_7
-0.14047734,-0.12830722,-0.5401156,0.62467104,-0.31768897,-0.69366795,-0.3059193,-0.9249908
0.045579735,0.20583354,-0.20734565,0.06947626,-0.20042579,-0.11602747,0.07607658,-0.15130399
-0.49125376,-0.94643646,0.2977635,0.96793485,0.4837638,-0.37864253,-1.004065,-0.16932845
-0.47675672,-0.59984004,0.4612642,0.57133126,1.5689721,0.65636575,-0.49677235,0.53694993
0.019596428,-0.14929205,0.013397509,0.44578856,2.3615565,-0.2357453,-1.3052872,0.5362691
-1.2727057,-1.6095916,0.45779943,0.6875984,0.65483004,-0.020046212,-1.556986,-0.37470675
-0.2669821,0.6580357,-0.30307895,-0.48095417,-0.8703296,-0.21498379,-0.29328167,-0.4029192
0.25342873,1.864246,-0.8812377,-0.76998484,0.4833304,0.18741365,0.035919055,-0.26873404
-0.79823667,-1.0382317,0.62929595,-0.17961319,1.1540594,0.27651048,-0.33851355,0.8468131
0.42492172,2.6174037,-0.49083766,-1.5917522,0.21848698,-0.38695914,-0.7706838,-0.6816522
-0.4811238,0.3820405,0.12784922,-1.0541079,-0.25410107,-0.19832502,-0.13765697,0.04338925
0.035567522,1.0498583,-0.2615442,-1.1510428,-0.31763855,-0.682607,0.13866511,-0.13816676
-0.14814627,0.78888893,0.05719981,-0.31809366,0.35488638,0.3537008,-0.13307083,-0.5693533
-0.2878411,-1.2518644,-0.04810987,1.873701,0.738233,-0.616513,-0.9165932,-0.34182885
-1.2401506,-1.4918399,1.0899919,0.23453875,2.2783234,0.4700382,-0.9463811,1.0022846
-1.1432493,0.93629956,-1.0610667,-1.0843699,1.5988067,1.4276731,-0.6501317,-0.68094134
-0.006290731,0.64907515,-0.109245636,-0.29425108,-0.33467963,-0.11717203,0.29734427,-0.070045196
-0.65836114,-1.5525299,0.6157819,1.7377423,1.4833523,0.007442348,-1.1763247,0.55577236
-1.6400874,-1.8714204,0.44539955,0.64987254,0.65074176,0.40519533,-1.6381375,-0.16086717
-0.0836165,-0.45949766,1.0365312,0.9200182,1.016097,-0.24105234,-0.8681646,0.6573792
0.4494549,3.2682269,2.0381901,0.37293106,1.4844451,0.5711792,0.9518998,1.8329409
-0.30896112,-0.16116725,-0.29709184,0.07209409,-0.12940554,-0.081856295,-0.19534776,-0.41749507
